市区町村コード,筆数合計,公共座標の筆数,任意座標の筆数,数字以外で始まる地番の筆数
06441,1,0,0,1
06461,106634,81601,14111,10922
07201,582037,383206,135676,63155
07202,296930,154724,69347,72859
07203,699782,394554,227188,78040
07204,711931,504141,128985,78805
07205,212252,153826,33309,25117
07207,289814,240213,20910,28691
07208,344924,137007,76423,131494
07209,140273,120334,2853,17086
07210,394304,355273,2867,36164
07211,350843,309886,278,40679
07212,317130,280915,6850,29365
07213,304783,160287,116917,27579
07214,102311,94174,0,8137
07301,44960,34643,2650,7667
07303,41805,30311,2837,8657
07308,85453,74889,0,10564
07309,444,2,0,442
07321,1,1,0,0
07322,49762,40614,4415,4733
07342,38903,35769,410,2724
07344,56391,28106,20657,7628
07362,101318,33793,22512,45013
07364,6243,5105,161,977
07367,66447,32720,25035,8692
07368,178972,62574,87585,28813
07402,30941,7310,20291,3340
07405,160126,3268,84904,71954
07407,34315,18557,10774,4984
07408,113987,61753,19690,32544
07421,94393,39160,22193,33040
07422,22122,9604,5382,7136
07423,97388,3631,37281,56476
07441,4,0,0,4
07444,61688,922,56141,4625
07445,84755,3549,73618,7588
07446,43370,2100,34491,6779
07447,158175,46755,43396,68024
07461,64712,47928,10701,6083
07464,29814,15361,10100,4353
07465,17480,9090,6284,2106
07466,68820,56179,6508,6133
07481,71185,52283,9730,9172
07482,49878,41733,1546,6599
07483,74501,36941,27201,10359
07484,36754,32245,189,4320
07501,104462,93386,1531,9545
07502,55517,50596,33,4888
07503,57150,50893,1208,5049
07504,44450,36558,3090,4802
07505,51819,43901,1479,6439
07521,122525,104139,7803,10583
07522,64952,54811,0,10141
07541,25959,21395,1047,3517
07542,37335,33732,4,3599
07543,42638,37929,865,3844
07544,27935,14730,8467,4738
07545,45212,39319,593,5300
07546,36722,29849,251,6622
07547,82151,66732,4718,10701
07548,14437,11083,0,3354
07561,43232,37298,1635,4299
07564,59199,46739,5807,6653
08201,349536,217347,104429,27760
08202,181640,122381,38866,20393
08203,212023,130370,63105,18548
08204,240189,88900,136216,15073
08205,187088,141622,28539,16927
08207,96020,38166,48871,8983
08208,113991,38404,64313,11274
08210,100625,59405,21903,19317
08211,177115,40907,105381,30827
08212,256422,209579,16034,30809
08214,60247,35210,15171,9866
08215,107741,31999,62323,13419
08216,197423,161162,16002,20259
08217,149783,22328,104853,22602
08219,96504,74382,17705,4417
08220,373252,196096,140997,36159
08221,160523,61643,88970,9910
08222,136138,32668,92645,10825
08223,76049,10336,58083,7630
08224,70953,4785,62761,3407
08225,260453,221559,9203,29691
08226,137961,122457,4880,10624
08227,259317,122474,109201,27642
08228,186275,61515,110475,14285
08229,197500,66902,99151,31447
08230,139570,125556,2941,11073
08231,143569,117136,11652,14781
08232,143814,14587,116778,12449
08233,168048,139697,1883,26468
08234,183708,157252,6920,19536
08235,118929,13119,95775,10035
08236,144445,118211,13898,12336
08302,113516,81552,18257,13707
08309,31546,14141,14785,2620
08310,93415,66529,14909,11977
08341,46190,39944,3057,3189
08364,187379,59325,104755,23299
08442,45240,33670,7748,3822
08443,95964,85917,3314,6733
08447,38488,13960,17322,7206
08521,71586,53517,11144,6925
08542,29742,9854,17363,2525
08546,62928,49803,8740,4385
08564,35137,19785,11163,4189
09201,591833,108965,423894,58974
09202,270700,4910,227250,38540
09203,414914,66987,299452,48475
09204,331249,4837,278072,48340
09205,306611,8546,250506,47559
09206,313689,20073,241800,51816
09207,1,0,1,0
09208,255944,18229,215609,22106
09209,186604,12307,157422,16875
09210,258661,44650,157718,56293
09211,113674,34033,61541,18100
09213,304085,161490,113698,28897
09214,116179,48302,56523,11354
09215,137101,60515,49991,26595
09216,99718,18957,72793,7968
09301,64585,3291,54727,6567
09321,4561,0,8,4553
09341,7,0,1,6
09342,86851,6792,68795,11264
09343,155404,2128,117673,35603
09344,68609,2118,53531,12960
09345,73903,6306,58181,9416
09361,94546,2414,83862,8270
09364,47150,1764,41251,4135
09367,1692,0,0,1692
09384,77323,22905,37998,16420
09386,74054,9747,56388,7919
09407,255969,11766,184283,59920
09411,106823,56983,25970,23870
09422,4,0,2,2
10201,464312,227872,201796,34644
10202,633941,206071,365780,62090
10203,221134,91910,97383,31841
10204,309795,62936,223287,23572
10205,336572,103635,201930,31007
10206,205187,25353,152801,27033
10207,129304,15474,103208,10622
10208,225423,152044,51972,21407
10209,170028,99119,53616,17293
10210,158605,108308,28000,22297
10211,256401,134071,96555,25775
10212,121019,41112,63621,16286
10303,4324,4,58,4262
10342,1,1,0,0
10344,37363,2693,31574,3096
10345,41211,4060,34720,2431
10363,62,0,4,58
10366,22726,502,16325,5899
10367,42199,9629,24484,8086
10382,90955,95,70064,20796
10383,52397,4,38264,14129
10384,54323,44914,3928,5481
10421,112161,82326,15077,14758
10424,57188,19430,30727,7031
10425,105052,22802,72784,9466
10426,12170,10682,534,954
10428,22094,17854,1559,2681
10429,126110,43624,64093,18393
10443,48588,433,41899,6256
10444,28423,3089,21276,4058
10448,47894,6141,37962,3791
10449,151097,77139,53004,20954
10464,49788,30873,17218,1697
10521,75056,3013,64117,7926
10522,33238,31542,0,1696
10523,38389,894,33203,4292
10524,34633,2764,29619,2250
10525,58397,945,52792,4660
11101,109170,3437,102196,3537
11102,64615,167,63179,1269
11103,61035,89,59855,1091
11104,129706,7984,118164,3558
11105,41127,139,40218,770
11106,67587,360,64364,2863
11107,67754,8228,58083,1443
11108,75377,1670,72343,1364
11109,102679,14839,85008,2832
11110,162307,5337,149611,7359
11201,347847,101322,227783,18742
11202,341236,145332,176413,19491
11203,325764,39751,277821,8192
11204,3,0,3,0
11206,160819,18103,133009,9707
11207,240301,8760,211991,19550
11208,227458,87201,133220,7037
11209,150708,20227,115962,14519
11210,259353,156647,85387,17319
11211,141875,82050,46807,13018
11212,145768,53327,82410,10031
11213,1,0,1,0
11214,240595,34469,196019,10107
11215,127241,90101,30969,6171
11216,132889,11508,112308,9073
11217,211291,18397,178318,14576
11218,244061,62883,169584,11594
11219,175120,41657,129515,3948
11221,157354,9175,144234,3945
11222,273890,15975,249462,8453
11223,29047,0,28266,781
11224,48906,0,47685,1221
11225,115364,85428,25493,4443
11226,3,0,0,3
11227,75552,2472,71616,1464
11228,42060,13949,26253,1858
11229,36029,1296,33819,914
11230,103947,2180,99657,2110
11231,82832,7725,72207,2900
11232,241574,24692,205438,11444
11233,74766,203,71670,2893
11234,80730,2778,75794,2158
11235,89835,3863,83902,2070
11237,87875,8554,77180,2141
11238,85585,5868,76182,3535
11239,101707,71588,24323,5796
11240,85603,1636,80539,3428
11241,48432,43579,3506,1347
11242,86504,64673,15229,6602
11243,81905,6763,68998,6144
11245,65296,26635,36687,1974
11246,75239,7837,67343,59
11301,45522,7445,36653,1424
11324,33868,32183,545,1140
11326,57619,51519,1572,4528
11327,37403,31396,2058,3949
11341,45496,34576,6950,3970
11342,41594,35548,2065,3981
11343,76892,34654,32089,10149
11346,119442,117,106169,13156
11347,91651,923,82891,7837
11348,36048,32184,855,3009
11349,51021,28332,16590,6099
11361,36988,150,34564,2274
11362,66412,78,60350,5984
11363,39842,0,36769,3073
11365,103993,8265,81934,13794
11369,28614,789,25142,2683
11381,42646,22976,15823,3847
11383,46540,27919,13226,5395
11385,51813,36014,12610,3189
11401,7,5,2,0
11408,115793,2442,105656,7695
11421,649,68,1,580
11424,820,17,461,342
11425,867,355,0,512
11442,54067,1075,50909,2083
11445,3215,8,159,3048
11446,245,0,196,49
11461,617,16,302,299
11462,496,0,317,179
11464,67542,3599,60052,3891
11465,45620,1884,41567,2169
12101,121033,20062,97075,3896
12102,106795,4913,99542,2340
12103,71137,3310,65932,1895
12104,146628,4852,136509,5267
12105,109821,5162,100709,3950
12106,12605,0,12514,91
12202,153863,1615,139518,12730
12203,247950,8453,231724,7773
12204,327682,3911,315638,8133
12205,172674,2161,159541,10972
12206,213361,27070,170464,15827
12207,262577,5793,251524,5260
12208,225515,22953,192464,10098
12210,219130,5563,200199,13368
12211,279869,74280,180770,24819
12212,204218,8880,186336,9002
12213,168557,13728,137609,17220
12215,224448,26732,173311,24405
12216,69204,4826,63241,1137
12217,311259,31131,272979,7149
12218,94153,2228,82382,9543
12219,511736,29799,440154,41783
12220,124762,9651,111696,3415
12221,137706,7467,124842,5397
12222,97287,4224,90436,2627
12223,196199,5651,164012,26536
12224,89099,1840,85965,1294
12225,274411,27689,219248,27474
12226,193187,30196,141182,21809
12227,34475,3212,30601,662
12228,85521,2426,80616,2479
12229,132059,15569,106619,9871
12230,116875,216,69188,47471
12231,157564,18951,129283,9330
12232,61479,9145,49406,2928
12233,78453,226,74968,3259
12234,270193,93974,139994,36225
12235,179233,28,165271,13934
12236,364307,84132,220203,59972
12237,219800,15040,177558,27202
12238,242289,6405,216334,19550
12239,110445,5738,101599,3108
12322,36557,139,34027,2391
12325,425,0,421,4
12328,121,0,119,2
12329,48367,3938,41415,3014
12342,26897,14201,6948,5748
12347,100413,50401,37485,12527
12349,48302,34500,6965,6837
12402,8544,1,308,8235
12403,52246,39,47347,4860
12409,51906,9572,39030,3304
12410,137515,2301,123517,11697
12421,42217,29668,7455,5094
12422,47796,6814,37731,3251
12423,48578,12353,23851,12374
12424,40825,26758,12321,1746
12426,56423,10798,41073,4552
12427,81625,13376,60656,7593
12441,103789,11460,80356,11973
12443,35085,0,32813,2272
12463,46644,23850,17177,5617
13101,22026,235,21169,622
13102,29950,1002,28430,518
13103,55422,1328,52169,1925
13104,93985,1995,89268,2722
13105,57809,2152,54562,1095
13106,51793,52,51067,674
13107,70649,2294,66219,2136
13108,79591,3382,73362,2847
13109,96977,3313,90680,2984
13110,81242,605,77990,2647
13111,197437,527,190712,6198
13112,310947,11613,287349,11985
13113,69590,8513,58641,2436
13114,110528,1521,106596,2411
13115,213693,86,207392,6215
13116,83835,7479,74351,2005
13117,96995,5469,88387,3139
13118,64097,0,61592,2505
13119,151897,10000,137795,4102
13120,304267,2809,294637,6821
13121,261270,15601,237013,8656
13122,189814,40080,139187,10547
13123,231200,20209,200927,10064
13201,374696,34849,319878,19969
13202,79756,1309,76830,1617
13203,52130,462,50979,689
13204,84809,3,83007,1799
13205,147889,19495,118333,10061
13206,126657,351,121456,4850
13207,63002,1155,58570,3277
13208,110720,257,104789,5674
13209,274489,26292,234909,13288
13210,58535,33,57465,1037
13211,91405,1062,88941,1402
13212,94807,9325,81330,4152
13213,80592,109,79008,1475
13214,64007,46,62806,1155
13215,35325,320,33405,1600
13218,32159,5449,25868,842
13219,40732,0,38385,2347
13220,45772,896,43220,1656
13221,40099,0,39345,754
13222,61381,417,59695,1269
13223,51652,1182,48757,1713
13224,41943,22495,16271,3177
13225,48759,3619,42428,2712
13227,28627,8012,19820,795
13228,108342,57738,43609,6995
13229,90106,116,88743,1247
13303,31839,20530,9826,1483
13305,27777,22165,2862,2750
13307,25019,0,20335,4684
13308,40622,5100,30090,5432
13361,34070,30337,502,3231
13362,3700,3436,0,264
13363,13787,13207,0,580
13364,13371,12700,0,671
13381,24289,23275,0,1014
13382,3121,2731,0,390
13401,35138,30634,0,4504
13402,1019,905,0,114
13421,10228,7075,0,3153
14101,102507,3,98087,4417
14102,92627,21733,66972,3922
14103,27272,446,26122,704
14104,49435,3054,44394,1987
14105,81581,6253,70837,4491
14106,97556,46995,44540,6021
14107,73214,352,67319,5543
14108,91375,8109,78150,5116
14109,147757,4679,136083,6995
14110,158660,91332,53315,14013
14111,108831,10656,90370,7805
14112,126660,111450,3398,11812
14113,79182,52845,21195,5142
14114,66370,58183,3452,4735
14115,68381,53602,6559,8220
14116,97534,66211,26567,4756
14117,108649,52283,52568,3798
14118,79856,1357,75510,2989
14131,60363,44,57939,2380
14132,44879,7,41951,2921
14133,74539,3512,66264,4763
14134,79452,0,74796,4656
14135,96548,8451,79207,8890
14136,82388,3518,75584,3286
14137,88234,36306,40458,11470
14151,281533,17365,244236,19932
14152,148558,2483,143230,2845
14153,167160,2611,161238,3311
14201,319362,10188,291863,17311
14203,241811,4665,215242,21904
14204,142732,589,132582,9561
14205,262507,38558,212271,11678
14206,274351,2316,238751,33284
14207,188240,3156,176248,8836
14208,50583,64,47237,3282
14209,475,0,2,473
14210,74267,1658,66682,5927
14211,222049,2678,192990,26381
14212,242364,31668,191730,18966
14213,112584,2433,107432,2719
14214,142267,17866,107166,17235
14215,96930,20407,69576,6947
14216,81630,582,77654,3394
14217,92043,41599,37972,12472
14218,82340,1337,77132,3871
14301,39530,0,37648,1882
14321,50511,296,46581,3634
14341,54801,0,48336,6465
14342,37915,3379,30105,4431
14361,43406,7573,28624,7209
14362,35350,24978,5797,4575
14363,37190,2765,28302,6123
14364,72259,4641,55359,12259
14366,22929,6374,13398,3157
14382,41651,0,37183,4468
14383,15418,0,14017,1401
14384,39486,634,35399,3453
14401,74960,164,67864,6932
14402,22882,53,18606,4223
15101,205425,17546,143202,44677
15102,133898,41387,81481,11030
15103,142626,31947,106567,4112
15104,187058,46214,118340,22504
15105,213906,26676,164926,22304
15106,127186,107849,6355,12982
15107,263303,103776,137493,22034
15108,303115,110347,121946,70822
15202,1356402,144123,981928,230351
15204,390888,64718,244801,81369
15205,725616,19847,595187,110582
15206,399484,178076,138473,82935
15208,218036,51456,61466,105114
15209,122450,4563,70293,47594
15210,642726,98193,245301,299232
15211,153803,11391,114221,28191
15212,430645,229490,132954,68201
15213,223330,95003,106738,21589
15216,596334,36599,510277,49458
15217,314759,22631,248750,43378
15218,275593,19854,176691,79048
15222,1461627,267518,1054001,140108
15223,219715,112284,73454,33977
15224,580337,438693,14767,126877
15225,306947,235424,33998,37525
15226,352438,189191,104257,58990
15227,141583,118747,2348,20488
15307,42496,34207,3702,4587
15308,1,0,0,1
15342,37468,31763,1586,4119
15361,52827,4093,12747,35987
15385,292131,35674,121889,134568
15405,79126,5830,65070,8226
15441,1605,0,0,1605
15461,48775,23123,20822,4830
15482,142303,41248,0,101055
15504,43275,15448,21266,6561
15541,15,0,0,15
15542,1,0,1,0
15581,63598,47281,4835,11482
15584,2,1,1,0
15586,6327,4015,1503,809
16201,1320976,206018,926303,188655
16202,423762,79088,298183,46491
16204,211336,17163,164401,29772
16205,323616,89064,191151,43401
16206,131129,49645,62733,18751
16207,198736,40876,129593,28267
16208,199751,76787,103577,19387
16209,215535,31753,162667,21115
16210,424294,80842,299433,44019
16211,232930,34831,161194,36905
16301,2,2,0,0
16321,9481,5303,2851,1327
16322,160904,19588,117901,23415
16323,153873,35323,95866,22684
16342,95854,28896,59164,7794
16343,108302,9358,84060,14884
16381,1,0,1,0
16384,1,0,1,0
17201,747481,286611,370117,90753
17202,447189,24167,364435,58587
17203,411128,29997,332600,48531
17204,569396,5347,490911,73138
17205,224177,6727,183811,33639
17206,329180,60102,230843,38235
17207,108220,72544,16416,19260
17209,122748,31830,76832,14086
17210,379112,135393,179878,63841
17211,147551,23733,101505,22313
17212,41225,29607,11192,426
